0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500
0;1;1;1;1;1;1;1;1;1;1;2;2;2;3;4;5;6;7;8;12;16;20;23;35;43;52;66;82;99;130;161;200;254;313;373;463;565;705;858;1071;1319;1606;1933;2332;2797;3336;3913;4511;5205;5903;6637;7358;8068;8720;9314;9841;10302;10680;10982;11198;11369;11507;11626;11721;11802;11850;11880;11908;11924;11940;11950;11959;11965;11968;11972;11972;11972;11974;11975;11976;11976;11976;11976;11976;11976;11976;11977;11977;11977;11977;11977;11978;11978;11978;11978;11978;11978;11978;11978;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11979;11980;11980;11980;11981;11981;11981;11981;11981;11981;11981;11981;11981;11981;11981;11981;11981;11981;11982;11982;11982;11982;11982;11982;11982;11982;11982;11982;11982;11982
0;1;1;1;1;1;1;1;1;1;1;2;2;2;3;5;5;6;7;9;13;18;20;26;35;39;45;60;76;94;123;149;176;226;279;337;414;509;607;740;869;1060;1235;1460;1705;1914;2162;2402;2596;2829;3000;3185;3330;3467;3561;3627;3696;3744;3787;3813;3831;3848;3857;3870;3879;3883;3885;3888;3890;3892;3895;3897;3898;3898;3898;3898;3900;3901;3901;3901;3901;3902;3902;3902;3902;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3903;3904;3905;3905;3905;3905;3905;3905;3905;3905;3905;3905;3906;3906;3906;3907;3907;3907;3907;3907;3906;3906;3906;3906;3906;3906;3906;3906;3906;3908;3908;3908;3908;3908;3908
0;1;1;1;1;1;1;1;1;1;1;2;2;4;5;5;6;8;9;11;13;16;21;27;31;36;43;52;65;78;94;117;153;180;229;276;326;394;475;576;685;794;946;1117;1288;1482;1658;1872;2068;2262;2428;2584;2720;2835;2926;3005;3050;3093;3123;3150;3169;3189;3198;3207;3217;3221;3222;3223;3224;3225;3227;3228;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3231;3230;3230;3230;3230;3230;3230;3230;3230;3230;3230;3231;3231;3231;3231;3231;3231;3232;3232;3232;3232;3232;3232;3232;3232;3233;3233;3233;3233;3233;3233;3234;3234;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235;3235
0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;5;5;7;9;11;14;17;20;27;33;44;52;66;81;102;124;147;179;231;283;349;430;527;651;814;1008;1217;1499;1837;2233;2723;3292;4026;4887;5820;6959;8160;9596;11099;12684;14358;16151;17735;19247;20667;21948;23074;24012;24780;25390;25904;26311;26608;26825;26997;27137;27231;27292;27353;27394;27424;27446;27458;27471;27484;27488;27497;27499;27502;27507;27511;27513;27514;27515;27514;27514;27514;27514;27514;27514;27514;27514;27514;27514;27515;27515;27515;27515;27516;27513;27513;27513;27513;27513;27513;27513;27513;27513;27513;27513;27513;27513;27513;27513;27514;27514;27515;27515;27515;27515;27515;27515;27515;27515;27515;27515;27515;27515;27515;27512;27512;27512;27512;27512;27513;27513;27513;27513;27513;27513;27513;27513;27513;27513
0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;3;3;4;8;8;9;11;15;18;21;27;33;41;52;69;83;112;139;165;205;249;310;379;486;604;734;887;1090;1324;1594;1935;2349;2844;3408;4063;4812;5627;6475;7395;8360;9316;10248;11143;11967;12638;13250;13735;14132;14479;14715;14871;15020;15138;15232;15296;15338;15378;15403;15429;15444;15449;15457;15468;15473;15474;15475;15475;15478;15479;15483;15484;15484;15484;15484;15484;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15482;15483;15483;15483;15483;15483;15483;15483;15483;15481;15481;15481;15481;15481;15481;15481;15481;15481;15481;15481;15481;15481;15481;15481
0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;5;7;8;9;9;14;16;23;27;29;40;48;61;75;91;113;137;166;211;272;324;399;482;587;709;846;1005;1211;1404;1625;1911;2189;2482;2798;3064;3309;3545;3753;3913;4052;4173;4278;4340;4392;4436;4464;4489;4506;4517;4527;4530;4535;4538;4543;4546;4548;4549;4549;4549;4549;4549;4549;4549;4549;4549;4549;4549;4549;4549;4550;4550;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4551;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550;4550
0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;4;4;5;7;9;12;14;17;21;27;30;38;44;55;68;89;102;127;156;185;224;273;332;388;456;532;596;647;684;743;801;850;886;924;953;967;979;993;998;1011;1020;1026;1028;1033;1038;1038;1038;1038;1038;1038;1038;1038;1038;1038;1038;1038;1038;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1037;1038;1038;1038;1038;1038;1038;1038;1038;1038;1038;1039;1039;1039;1039;1039;1039;1040;1040;1040;1040;1040;1040;1040;1040;1040;1041;1041;1041;1041;1041;1041;1042;1042;1042;1042;1042;1042;1042;1042;1042;1042;1043;1044;1044;1044;1044;1044;1044;1044;1044;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045;1045
0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;4;4;4;4;6;6;7;10;14;17;23;30;35;43;55;61;81;106;122;149;187;224;266;326;376;449;508;585;664;723;790;849;910;955;998;1030;1060;1084;1103;1116;1134;1139;1146;1153;1158;1158;1161;1162;1163;1163;1165;1165;1165;1165;1165;1165;1166;1166;1166;1166;1166;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1167;1168;1168;1168;1168;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169;1169
0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;4;4;6;8;10;13;15;21;26;29;34;41;54;66;83;101;121;151;189;242;301;369;466;576;698;854;1027;1233;1511;1812;2193;2629;3149;3757;4403;5147;5909;6724;7538;8353;9125;9892;10541;11091;11572;11968;12313;12598;12810;12961;13073;13177;13242;13296;13333;13356;13377;13391;13407;13416;13423;13430;13432;13434;13438;13440;13441;13442;13443;13443;13444;13444;13444;13444;13442;13442;13442;13442;13442;13442;13442;13442;13442;13442;13442;13442;13442;13442;13442;13441;13441;13441;13441;13441;13441;13441;13441;13441;13441;13441;13441;13441;13441;13441;13440;13441;13441;13441;13441;13442;13442;13442;13442;13442;13442;13442;13442;13442;13442;13441;13441;13441;13441;13441;13441;13442;13442;13442;13442;13442;13442;13442;13442;13442
0;1;1;1;1;1;1;1;1;1;1;2;2;3;4;7;7;9;13;15;18;21;24;33;36;45;54;69;84;98;117;150;195;226;274;348;427;525;624;754;916;1106;1303;1522;1748;2021;2288;2552;2822;3087;3351;3563;3720;3873;3990;4073;4146;4207;4260;4297;4324;4354;4364;4375;4382;4391;4393;4395;4396;4401;4403;4403;4405;4408;4409;4409;4409;4409;4410;4410;4410;4410;4410;4410;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4411;4410;4410;4410;4410;4410;4410;4410;4410;4410;4410;4410;4410;4410;4410;4410;4410;4411;4411;4412;4412;4412;4412;4412;4412;4412;4412;4412;4413;4413;4413
