0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000
0;1;2;3;4;4;4;5;6;7;8;8;8;9;9;11;11;11;12;12;13;13;14;15;16;17;19;19;21;22;23;24;26;26;27;29;29;30;30;31;33;34;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
0;2;3;3;4;5;6;7;8;9;10;10;10;10;11;12;12;13;14;15;16;16;18;19;19;19;19;21;22;22;22;22;22;22;22;23;24;25;26;26;27;27;27;28;28;30;32;34;35;35;35;35;36;36;37;37;38;40;40;40;41;41;41;41;41;41;41;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
0;2;4;6;6;7;8;9;10;12;14;14;15;16;17;17;19;21;23;24;24;25;25;27;27;27;28;29;30;30;31;32;33;35;35;35;35;36;36;37;39;39;40;41;42;45;45;46;47;48;48;48;48;48;48;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
0;2;3;4;4;4;4;4;4;5;6;8;9;10;11;11;12;12;12;14;15;15;16;17;18;19;20;21;21;21;21;21;22;23;23;23;24;25;25;26;27;27;29;29;29;30;30;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
0;1;1;2;3;5;6;6;6;6;6;6;6;6;6;7;7;7;8;10;10;10;10;11;12;12;12;13;14;15;16;17;18;18;20;21;22;23;25;26;26;27;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
0;3;3;3;4;5;5;6;7;9;9;9;10;11;13;13;14;14;15;16;17;17;17;17;17;18;19;19;20;21;22;22;23;23;23;24;25;26;26;27;27;27;27;27;27;28;28;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29
0;1;2;4;4;5;5;5;5;6;8;8;9;9;10;11;12;13;14;15;16;18;18;19;19;19;19;20;21;21;22;23;23;23;25;26;27;28;28;29;29;29;30;30;30;30;30;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
0;2;4;5;5;6;7;7;8;9;10;10;11;12;14;15;17;17;17;17;17;18;18;18;19;20;22;23;25;27;28;29;30;31;32;34;34;34;35;37;37;37;37;37;37;37;38;40;40;40;40;40;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41
0;1;2;2;2;2;3;3;4;4;5;6;7;7;8;9;9;11;12;13;13;14;14;14;15;16;17;17;17;18;20;20;21;22;22;22;24;25;25;25;26;27;27;27;28;29;29;29;29;30;30;30;30;31;32;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33
0;3;4;4;4;5;6;6;6;7;7;7;7;7;7;7;7;7;7;8;9;9;9;9;10;10;11;11;11;12;13;14;14;16;16;16;16;16;17;17;17;17;18;18;19;20;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
0;2;3;4;5;5;6;7;7;8;8;8;9;9;10;11;11;12;13;13;15;17;18;18;18;19;21;21;22;24;24;25;25;25;26;27;28;29;30;30;30;30;31;31;32;32;33;33;34;34;34;35;37;37;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38
