time,median
0,1.0
100,1.0
200,1.0
300,1.0
400,1.0
500,1.0
600,1.0
700,1.0
800,1.0
900,1.0
1000,1.0
1100,1.0
1200,1.0
1300,1.0
1400,1.0
1500,1.0
1600,1.0
1700,1.0
1800,1.0
1900,1.0
2000,15.5
2100,273.5
2200,4211.0
2300,24435.5
2400,29839.5
2500,29969.0
2600,29964.0
2700,29956.0
2800,29952.0
2900,29948.5
3000,29944.5
3100,29941.0
3200,29937.0
3300,29933.5
3400,29929.5
3500,29924.5
3600,29917.5
3700,29914.0
3800,29909.0
3900,29903.0
4000,29900.5
4100,29897.0
4200,29891.5
4300,29887.5
4400,29883.5
4500,29879.0
4600,29876.0
4700,29871.5
4800,29889.0
