time,median
0,0.0
10,2.0
20,2.0
30,3.0
40,4.0
50,4.0
60,5.0
70,6.0
80,6.0
90,7.0
100,8.0
110,8.0
120,9.0
130,10.0
140,10.0
150,11.0
160,12.0
170,13.0
180,13.0
190,14.0
200,15.0
210,15.0
220,16.0
230,17.0
240,18.0
250,18.0
260,19.0
270,19.0
280,20.0
290,21.0
300,21.0
310,23.0
320,23.0
330,24.0
340,25.0
350,25.0
360,26.0
370,27.0
380,27.0
390,28.0
400,29.0
410,29.0
420,30.0
430,31.0
440,32.0
450,32.0
460,32.0
470,33.0
480,33.0
490,34.0
500,35.0
510,36.0
520,36.0
530,37.0
540,37.0
550,37.0
560,38.0
570,38.0
580,38.0
590,38.0
600,38.0
610,37.0
620,36.0
630,35.0
640,33.0
650,32.0
660,30.0
670,28.0
680,26.0
690,23.0
700,21.0
710,19.0
720,15.0
730,13.0
740,11.0
750,8.0
760,6.0
770,5.0
780,4.0
790,4.0
800,3.0
810,3.0
820,2.0
830,2.0
840,2.0
850,1.0
860,1.0
870,1.0
880,1.0
890,1.0
900,1.0
910,1.0
920,1.0
930,1.0
940,1.0
950,1.0
960,1.0
970,1.0
980,1.0
990,1.0
1000,1.0
1010,1.0
1020,1.0
1030,1.0
1040,1.0
1050,1.0
1060,1.0
1070,1.0
1080,1.0
1090,1.0
1100,1.0
1110,1.0
1120,1.0
1130,1.0
1140,1.0
1150,1.0
1160,1.0
1170,1.0
1180,1.0
1190,1.0
1200,1.0
1210,1.0
1220,1.0
1230,1.0
1240,1.0
1250,1.0
1260,1.0
1270,1.0
1280,1.0
1290,1.0
1300,1.0
1310,1.0
1320,1.0
1330,1.0
1340,1.0
1350,1.0
1360,1.0
1370,1.0
1380,1.0
1390,1.0
1400,1.0
1410,1.0
1420,1.0
1430,1.0
1440,1.0
1450,1.0
1460,1.0
1470,1.0
1480,1.0
1490,1.0
1500,1.0
