time,median
0,0.0
10,1.0
20,2.0
30,2.0
40,2.0
50,3.0
60,3.0
70,3.0
80,3.0
90,4.0
100,4.0
110,4.0
120,5.0
130,5.0
140,5.0
150,6.0
160,6.0
170,6.0
180,6.0
190,7.0
200,7.0
210,8.0
220,8.0
230,8.0
240,8.0
250,8.5
260,9.0
270,9.0
280,10.0
290,10.0
300,10.0
310,10.5
320,11.0
330,11.0
340,11.0
350,12.0
360,12.0
370,12.0
380,13.0
390,13.0
400,13.0
410,14.0
420,14.0
430,14.0
440,14.0
450,15.0
460,15.0
470,15.0
480,15.0
490,15.0
500,16.0
510,16.0
520,16.0
530,16.0
540,16.5
550,17.0
560,17.0
570,17.0
580,17.0
590,17.0
600,17.0
610,17.0
620,17.0
630,17.0
640,17.0
650,17.0
660,17.0
670,17.0
680,17.0
690,17.0
700,17.0
710,17.0
720,17.0
730,17.0
740,17.0
750,17.0
760,17.0
770,17.0
780,17.0
790,17.0
800,17.0
810,17.0
820,17.0
830,17.0
840,17.0
850,17.0
860,17.0
870,17.0
880,17.0
890,17.0
900,17.0
910,17.0
920,17.0
930,17.0
940,17.0
950,17.0
960,17.0
970,17.0
980,17.0
990,17.0
1000,17.0
