0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000
0;1;1;1;1;1;1;2;2;4;7;7;10;14;16;17;20;24;33;41;49;62;84;102;120;153;196;237;297;376;469;585;734;900;1110;1387;1694;2088;2545;3067;3759;4565;5478;6593;7848;9251;10803;12517;14376;16122;17979;19690;21380;22944;24328;25561;26531;27296;27908;28409;28790;29119;29351;29520;29649;29741;29815;29867;29906;29935;29960;29978;29997;30010;30016;30020;30026;30030;30030;30030;30033;30034;30032;30034;30036;30037;30037;30037;30036;30036;30036;30036;30036;30036;30040;30040;30040;30037;30037;30037;30038
0;1;1;2;2;2;3;4;4;4;7;10;11;16;20;26;31;39;48;58;73;87;110;133;173;209;265;323;412;519;641;775;980;1201;1483;1809;2251;2748;3305;4018;4848;5810;6953;8228;9707;11226;12959;14749;16580;18370;20139;21750;23292;24625;25762;26657;27410;28006;28492;28859;29127;29335;29482;29593;29663;29735;29796;29828;29850;29876;29890;29900;29905;29914;29919;29922;29922;29926;29927;29927;29927;29929;29931;29932;29932;29930;29931;29932;29929;29929;29929;29928;29928;29928;29928;29928;29928;29927;29927;29927;29925
0;2;2;2;4;7;8;10;15;18;25;32;43;51;62;75;87;112;139;172;216;270;337;420;510;628;788;969;1203;1475;1822;2253;2752;3347;4042;4895;5874;7022;8356;9753;11373;13162;14991;16874;18740;20506;22179;23676;24936;26032;26918;27662;28249;28707;29055;29311;29520;29665;29782;29878;29939;30000;30027;30055;30076;30091;30098;30103;30108;30119;30119;30121;30123;30123;30124;30125;30125;30126;30127;30126;30126;30126;30125;30125;30125;30124;30124;30124;30124;30124;30125;30125;30125;30125;30124;30124;30124;30124;30124;30125;30126
0;2;2;2;2;3;3;5;5;7;9;11;12;15;16;22;27;35;41;52;64;87;102;123;153;195;246;311;378;459;577;714;878;1085;1327;1642;2001;2471;3009;3655;4437;5408;6463;7701;9126;10685;12342;14171;16033;17926;19763;21564;23162;24557;25770;26747;27560;28195;28700;29115;29396;29607;29785;29902;29994;30061;30109;30144;30173;30192;30211;30220;30229;30239;30246;30253;30252;30256;30259;30257;30257;30257;30256;30258;30258;30260;30261;30261;30261;30263;30263;30263;30263;30263;30262;30262;30262;30261;30263;30263;30259
0;2;2;3;5;5;7;11;11;13;19;22;27;34;38;51;59;80;95;116;148;179;224;277;360;444;541;672;830;1026;1254;1517;1864;2305;2834;3410;4184;5051;6031;7182;8489;9945;11534;13278;15048;16885;18733;20490;22061;23519;24801;25859;26758;27506;28077;28511;28872;29128;29323;29463;29578;29674;29725;29780;29821;29857;29876;29899;29909;29920;29926;29930;29936;29936;29936;29937;29935;29935;29937;29935;29937;29938;29936;29937;29938;29937;29938;29938;29936;29936;29936;29937;29938;29938;29934;29936;29937;29939;29939;29940;29938
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;6;6;6;8;10;13;16;20;23;28;35;37;47;55;70;85;106;126;151;187;226;277;336;417;528;633;783;979;1199;1444;1780;2173;2651;3228;3929;4764;5728;6806;8105;9562;11176;12880;14722;16585;18498;20306;21959;23464;24774;25852;26804;27539;28149;28625;29005;29299;29513;29674;29799;29888;29959;30022;30057;30092;30105;30116;30121;30127;30135;30139;30143;30145;30150;30153;30156;30157;30158;30158;30158;30155
0;1;1;2;2;2;2;3;3;4;5;7;7;10;13;15;20;24;31;39;48;61;78;90;107;136;167;204;245;304;376;467;575;712;889;1100;1341;1641;2000;2465;3046;3648;4371;5286;6298;7538;8883;10456;12093;13901;15784;17678;19503;21259;22862;24248;25485;26578;27396;28036;28555;28954;29282;29513;29678;29802;29898;29981;30034;30069;30101;30127;30141;30152;30159;30170;30175;30177;30183;30182;30183;30186;30183;30184;30184;30186;30186;30186;30186;30187;30188;30189;30189;30190;30185;30185;30186;30186;30186;30187;30187
0;1;2;2;3;4;4;4;5;5;8;12;12;14;16;19;25;29;33;38;51;60;73;89;115;140;178;214;256;312;403;484;596;728;902;1123;1362;1686;2052;2502;3053;3733;4527;5446;6543;7789;9144;10697;12379;14170;15916;17736;19549;21207;22721;24052;25209;26223;27031;27661;28170;28550;28877;29082;29247;29387;29493;29553;29607;29650;29682;29704;29726;29736;29747;29754;29760;29764;29767;29767;29769;29771;29774;29774;29775;29775;29776;29776;29776;29776;29776;29774;29774;29775;29774;29775;29775;29773;29773;29773;29772
0;2;2;3;4;6;6;8;10;13;15;16;19;26;34;39;49;64;81;96;118;144;177;223;272;334;418;533;650;808;996;1244;1521;1848;2256;2783;3379;4111;4972;5956;7083;8426;9922;11531;13309;15090;16991;18843;20538;22151;23610;24871;25880;26750;27473;28029;28489;28878;29131;29326;29469;29573;29680;29748;29791;29829;29857;29878;29894;29904;29910;29920;29920;29922;29925;29926;29927;29928;29928;29927;29927;29927;29925;29925;29925;29923;29924;29924;29923;29924;29925;29926;29926;29926;29924;29925;29925;29926;29926;29927;29927
0;1;2;2;2;2;2;3;3;3;4;6;7;9;12;13;17;22;29;31;39;49;59;74;92;113;141;182;232;285;356;428;532;665;810;1020;1272;1558;1912;2357;2885;3510;4250;5085;6076;7248;8591;10048;11666;13409;15263;17115;18986;20750;22347;23800;25026;26097;26984;27683;28229;28676;29004;29235;29428;29561;29658;29746;29817;29857;29882;29909;29935;29955;29969;29977;29984;29988;29992;29996;29998;30000;30001;30003;30003;30004;30005;30005;30004;30004;30005;30005;30005;30006;30006;30008;30009;30008;30010;30010;30011
