0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;3;3;3;3;4;4;4;5;7;8;13;17;22;28;32;41;55;72;96;118;145;190;230;281;348;432;536;655;804;990;1244;1513;1858;2279;2774;3399;4118;4995;6060;7264;8582;10050;11741;13475;15358;17215;19079;20786;22456;23927;25217;26307;27147;27869;28440;28862;29189;29427;29608;29737;29850;29944;30004;30043;30091;30111;30122;30136;30143;30146;30158;30162;30166;30168;30169;30170;30170;30172;30173;30173;30173;30174;30174;30172;30174;30175;30175;30176;30176;30176;30176;30176;30175;30175;30175;30175;30175;30175;30173;30173;30174;30175;30176;30176;30177;30178;30179;30177;30177;30177;30177;30178;30178;30177;30179;30179;30178;30179;30179;30178;30179;30180
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;4;5;6;6;8;9;11;14;16;19;25;33;39;44;49;58;67;85;111;134;160;206;253;321;391;472;589;710;892;1110;1363;1684;2071;2528;3091;3768;4548;5504;6617;7909;9281;10823;12539;14311;16160;18019;19803;21551;23034;24396;25594;26579;27355;28020;28514;28885;29174;29388;29577;29694;29802;29891;29941;29986;30014;30043;30055;30068;30078;30082;30089;30094;30097;30097;30099;30102;30101;30101;30101;30101;30103;30103;30102;30103;30103;30103;30103;30103;30102;30102;30103;30103;30104;30104;30103;30104;30104;30102;30102;30102;30102;30102;30102;30101;30101;30101;30100;30100;30101;30100;30101;30102;30103;30103;30103;30103;30103;30103
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;4;6;7;9;11;14;16;22;27;36;45;55;72;90;110;132;165;202;255;328;398;496;606;765;955;1168;1454;1792;2156;2648;3251;3945;4778;5739;6909;8215;9655;11240;12980;14711;16558;18398;20183;21885;23385;24711;25892;26824;27567;28131;28622;28997;29255;29479;29624;29760;29849;29906;29954;30002;30033;30054;30069;30082;30089;30097;30102;30104;30105;30106;30104;30107;30109;30104;30105;30106;30105;30105;30105;30104;30105;30105;30103;30103;30106;30105;30106;30106;30106;30106;30106;30105;30105;30105;30106;30106;30106;30105;30105;30105;30105;30106;30107;30108;30108;30108;30107;30107;30107;30106;30106;30106;30105;30105;30105;30105;30105;30105;30106;30106;30107;30108;30108;30108
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;5;6;7;8;11;11;14;16;23;28;31;35;46;57;65;79;105;123;152;193;240;292;365;461;572;698;867;1063;1290;1580;2008;2468;3010;3692;4479;5392;6443;7682;9058;10604;12329;14144;16058;17912;19727;21394;22938;24270;25467;26448;27230;27927;28413;28772;29092;29328;29493;29632;29742;29815;29860;29907;29946;29960;29981;29996;30009;30012;30017;30020;30022;30026;30022;30023;30024;30022;30022;30023;30022;30022;30022;30021;30021;30021;30020;30020;30020;30019;30020;30022;30021;30021;30021;30024;30025;30025;30024;30024;30024;30023;30024;30024;30024;30024;30024;30023;30023;30023;30023;30023;30023;30023;30023;30023;30022;30022;30024;30023;30024;30024;30025;30025;30026
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;4;4;6;7;9;12;15;17;20;22;30;41;47;63;76;94;112;145;169;207;262;325;406;491;618;754;922;1120;1382;1715;2114;2586;3145;3849;4655;5560;6665;7923;9332;10907;12595;14372;16148;17919;19711;21454;22964;24275;25422;26398;27185;27800;28263;28640;28949;29181;29375;29497;29590;29662;29710;29762;29785;29809;29826;29840;29846;29853;29859;29869;29872;29876;29878;29878;29884;29887;29889;29890;29890;29888;29888;29888;29888;29888;29889;29888;29888;29888;29887;29887;29887;29887;29887;29889;29890;29891;29891;29890;29891;29892;29892;29892;29892;29891;29891;29891;29890;29890;29890;29889;29889;29891;29890;29891;29891;29889;29889;29889
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;5;7;7;11;14;16;20;26;31;41;50;57;71;88;113;134;176;212;259;323;401;494;619;779;962;1180;1479;1807;2232;2711;3304;3983;4787;5769;6862;8160;9626;11189;12874;14666;16523;18398;20201;21813;23302;24579;25677;26638;27366;27980;28429;28815;29089;29329;29489;29595;29694;29769;29820;29850;29880;29894;29908;29918;29923;29931;29936;29938;29938;29938;29938;29939;29940;29940;29943;29943;29945;29945;29945;29946;29946;29945;29945;29945;29944;29945;29945;29945;29946;29946;29944;29945;29948;29946;29946;29946;29945;29946;29946;29946;29948;29948;29949;29949;29949;29948;29948;29948;29945;29945;29945;29944;29944;29945;29945;29946;29946;29945;29945;29946;29943;29944;29944
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;4;6;8;9;14;17;19;26;36;45;53;68;87;112;133;165;206;254;308;385;466;579;702;861;1028;1272;1571;1916;2356;2825;3470;4170;5055;6046;7215;8553;10064;11700;13488;15297;17198;18972;20748;22430;23841;25115;26206;27043;27743;28307;28714;29012;29272;29466;29614;29743;29832;29888;29934;29956;29983;30005;30020;30030;30038;30044;30047;30054;30056;30056;30057;30058;30059;30059;30059;30059;30061;30062;30062;30062;30062;30065;30065;30062;30062;30062;30061;30061;30061;30061;30062;30062;30064;30064;30065;30063;30063;30064;30064;30064;30064;30063;30063;30063;30062;30062;30062;30062;30064;30064;30063;30063;30066;30064;30066;30066;30066;30067;30067;30067;30067;30067
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;6;6;9;11;13;18;22;26;31;39;48;60;81;98;119;152;192;229;283;358;450;545;679;844;1041;1258;1546;1902;2305;2811;3404;4112;4975;5992;7118;8428;9908;11529;13287;15163;16962;18739;20513;22119;23607;24837;25934;26799;27524;28097;28585;28941;29187;29400;29549;29649;29737;29801;29865;29904;29931;29960;29978;29989;30000;30005;30007;30010;30012;30012;30012;30013;30014;30015;30016;30016;30017;30017;30016;30016;30016;30014;30015;30015;30015;30017;30017;30015;30017;30018;30016;30017;30017;30015;30015;30016;30015;30017;30017;30016;30016;30016;30015;30015;30015;30014;30014;30015;30014;30014;30014;30016;30016;30016;30013;30014;30015;30014;30014;30014;30014;30014;30014;30014;30014;30014
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;6;6;8;8;9;10;14;17;22;29;34;44;55;68;84;99;129;167;210;250;314;384;468;576;718;885;1087;1343;1624;2023;2456;3034;3680;4483;5371;6462;7714;9088;10614;12299;14071;15908;17714;19482;21178;22791;24248;25459;26475;27303;27982;28501;28904;29230;29463;29629;29762;29836;29906;29967;30005;30038;30056;30071;30087;30097;30102;30108;30109;30113;30114;30116;30117;30117;30118;30115;30116;30116;30114;30115;30115;30114;30115;30115;30114;30114;30114;30115;30116;30116;30116;30116;30116;30116;30117;30117;30116;30116;30116;30116;30116;30116;30115;30115;30116;30114;30114;30114;30113;30113;30113;30114;30114;30114;30114;30114;30114
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;4;5;8;8;10;12;18;18;21;29;35;46;55;67;81;97;120;151;178;223;274;331;422;522;639;789;976;1194;1464;1800;2207;2708;3314;4022;4847;5880;7027;8271;9757;11342;13115;14919;16755;18582;20355;21974;23408;24693;25792;26686;27438;28052;28459;28786;29069;29243;29393;29523;29594;29652;29707;29754;29781;29803;29825;29838;29845;29848;29855;29858;29858;29858;29860;29860;29860;29861;29861;29862;29862;29862;29863;29863;29863;29864;29864;29865;29864;29864;29864;29862;29863;29864;29866;29866;29866;29864;29864;29864;29862;29862;29863;29863;29863;29864;29863;29864;29866;29865;29866;29866;29864;29864;29864;29863;29863;29863;29862;29862;29862;29860;29860;29862;29862;29862;29862
