0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500
0;1;1;1;1;1;1;1;1;1;1;1;2;2;3;4;4;5;7;7;8;9;10;11;15;17;20;25;30;35;44;56;67;83;111;135;164;197;246;291;351;438;512;617;751;891;1038;1212;1406;1604;1835;2034;2260;2473;2652;2831;2966;3079;3178;3256;3320;3369;3409;3439;3465;3477;3491;3497;3504;3505;3510;3512;3514;3516;3517;3520;3520;3520;3520;3522;3523;3524;3524;3524;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3525;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3527;3528;3528;3528;3528;3528;3528
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;5;6;6;7;10;13;14;16;22;30;36;44;54;63;76;93;109;131;152;173;191;199;219;248;263;277;289;295;304;308;311;316;316;320;320;321;323;324;326;326;326;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;328;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329
0;1;1;1;1;1;1;1;1;1;1;1;2;2;3;4;4;7;9;10;12;15;17;20;24;31;40;45;58;70;87;111;136;162;202;247;310;366;448;527;640;752;857;1014;1166;1330;1499;1660;1850;2015;2144;2270;2385;2485;2567;2636;2690;2730;2759;2779;2797;2812;2822;2829;2835;2841;2842;2842;2845;2848;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2849;2850;2850;2850;2850;2850;2850;2850;2850;2851;2852;2852;2852;2852;2852;2852;2852;2852;2852;2852;2852;2852;2852;2852;2852;2853;2853;2853;2853;2853;2854;2854;2854;2854;2855;2855;2855;2855;2855;2855;2856;2856;2856;2856;2856;2857;2857;2857;2857;2857;2858;2858;2858
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;4;4;6;6;6;8;13;15;19;22;29;34;43;55;67;85;103;123;149;176;209;259;294;342;384;422;472;511;549;574;603;629;656;674;684;690;697;702;706;711;714;716;718;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;720;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721;721
0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;4;4;6;8;9;10;11;13;19;28;32;43;52;62;75;94;112;140;171;204;258;309;369;447;546;660;783;914;1084;1283;1493;1703;1919;2140;2340;2523;2737;2914;3056;3175;3282;3375;3436;3484;3525;3554;3582;3604;3618;3628;3635;3638;3643;3646;3646;3647;3647;3648;3648;3648;3648;3649;3649;3649;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3650;3651;3651;3651;3651;3651;3651;3651;3651;3651;3652;3652;3652;3652;3652;3652;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653;3653
0;1;1;1;1;1;1;1;1;1;1;2;2;3;5;5;5;6;8;10;12;14;19;25;32;36;42;52;66;80;93;117;139;173;214;260;313;388;467;557;690;850;1031;1230;1485;1764;2084;2477;2881;3323;3785;4253;4696;5151;5583;5955;6283;6570;6796;6986;7136;7240;7329;7381;7436;7472;7497;7521;7537;7549;7558;7566;7568;7571;7576;7579;7580;7582;7582;7585;7586;7586;7586;7586;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7587;7586;7586;7586;7586;7586;7586;7586;7586;7586;7586;7586;7586;7586;7586;7586;7587;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7588;7589;7590;7590;7590;7590
0;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;5;5;7;9;12;13;18;26;31;43;50;63;78;101;127;160;206;255;314;392;484;587;721;878;1070;1327;1611;1954;2383;2819;3400;4019;4667;5407;6210;6988;7785;8604;9315;9959;10568;11072;11472;11799;12099;12325;12493;12620;12711;12790;12848;12888;12911;12937;12954;12965;12976;12984;12991;12998;13002;13003;13007;13008;13010;13011;13011;13011;13011;13012;13012;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13013;13014;13014;13014;13014;13014;13014;13014;13014;13014;13014;13014;13014;13014;13013;13013;13013;13013;13013;13013;13013;13013;13013;13014;13014;13014;13014;13014;13014;13013;13013;13014;13014;13014;13014;13014;13015;13015;13015;13015;13015;13015;13015;13015
0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;4;6;7;11;14;16;22;25;30;38;51;63;78;97;116;153;194;236;288;363;442;527;644;794;962;1160;1398;1663;1949;2315;2682;3033;3451;3881;4307;4740;5066;5386;5653;5879;6079;6240;6345;6438;6507;6553;6601;6625;6645;6667;6688;6695;6700;6701;6709;6710;6713;6715;6716;6719;6719;6717;6717;6717;6718;6718;6719;6719;6719;6719;6719;6719;6719;6719;6719;6719;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6718;6719;6719;6719;6719;6719;6719;6719;6719;6720;6720;6720;6720;6720;6718;6718;6718;6718;6718;6719;6719;6719;6719;6719;6719;6719;6719;6719;6719;6719;6719;6719;6720;6720;6720;6720;6720;6721;6721;6721;6721;6721;6721;6721
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;5;6;6;7;9;9;13;15;18;21;25;28;40;47;57;68;78;98;114;135;166;196;234;263;308;353;399;435;472;503;532;559;581;593;608;617;626;632;638;641;646;648;650;652;654;654;654;654;655;655;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;656;657;658;658;658;658;658;658;658;658;658;658;658;658;658;658;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659;659
0;1;1;1;1;1;1;1;1;1;1;2;2;3;4;4;5;7;8;10;12;16;21;29;34;46;58;67;86;110;126;157;189;244;297;364;460;556;685;828;993;1191;1411;1673;1938;2233;2563;2902;3256;3597;3892;4205;4447;4689;4894;5050;5168;5253;5335;5381;5433;5461;5486;5506;5518;5532;5536;5542;5543;5546;5549;5551;5552;5552;5552;5553;5553;5553;5553;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5554;5555;5555;5555;5555;5555;5555;5555;5555;5555;5556;5556;5556;5556;5556;5556;5556;5556;5556;5556;5556;5556;5556;5557;5557;5557;5557;5557;5557;5557;5557;5557;5557;5557;5558;5558;5558;5558;5559;5559;5559;5559;5559;5559
