time,median
0,0.0
10,2.0
20,2.0
30,3.0
40,4.0
50,4.0
60,5.0
70,5.0
80,6.0
90,7.0
100,7.0
110,8.0
120,9.0
130,9.0
140,10.0
150,11.0
160,12.0
170,13.0
180,14.0
190,14.0
200,15.0
210,16.0
220,16.0
230,17.0
240,18.0
250,18.0
260,19.0
270,20.0
280,20.0
290,21.0
300,22.0
310,23.0
320,23.0
330,24.0
340,24.0
350,25.0
360,26.0
370,26.0
380,27.0
390,28.0
400,28.0
410,28.0
420,28.0
430,29.0
440,29.0
450,30.0
460,31.0
470,31.0
480,32.0
490,33.0
500,34.0
510,35.0
520,35.0
530,35.0
540,35.0
550,35.0
560,35.0
570,35.0
580,35.0
590,35.0
600,36.0
610,36.0
620,36.0
630,36.0
640,36.0
650,36.0
660,36.0
670,36.0
680,36.0
690,36.0
700,36.0
710,36.0
720,36.0
730,36.0
740,36.0
750,36.0
760,36.0
770,36.0
780,36.0
790,36.0
800,36.0
810,36.0
820,36.0
830,36.0
840,36.0
850,36.0
860,36.0
870,36.0
880,36.0
890,36.0
900,36.0
910,36.0
920,36.0
930,36.0
940,36.0
950,36.0
960,36.0
970,36.0
980,36.0
990,36.0
1000,36.0
