0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500
0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;5;5;6;7;9;9;9;11;16;20;23;27;37;44;54;67;83;98;121;155;191;240;291;363;447;552;664;802;976;1163;1377;1615;1877;2151;2436;2742;3008;3272;3527;3749;3938;4093;4224;4323;4404;4477;4519;4555;4589;4601;4607;4619;4627;4637;4645;4649;4651;4652;4655;4655;4655;4656;4656;4656;4656;4656;4656;4656;4656;4656;4656;4656;4656;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4654;4654;4654;4655;4655;4655;4655;4655;4655;4655;4655;4655;4655;4656;4656
0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;4;4;5;7;8;9;11;15;16;19;24;30;38;48;55;73;92;118;145;178;217;264;327;392;465;562;676;793;930;1072;1243;1399;1543;1663;1794;1918;2044;2132;2227;2298;2350;2401;2431;2459;2479;2498;2508;2515;2525;2529;2530;2534;2539;2539;2541;2541;2543;2543;2544;2544;2544;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2544;2544;2544;2544;2544;2544;2544;2544;2544;2544;2544;2544;2544;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2545;2546;2546;2546;2546;2547;2547;2547;2547;2547;2547;2547;2547;2547;2547;2547;2547;2547;2548;2548;2548;2548;2548;2548;2548;2548;2548;2549;2549;2549;2549;2549;2549;2549
0;1;1;1;1;1;1;1;1;1;1;2;2;2;3;5;6;7;7;8;9;10;12;14;19;26;33;43;50;57;72;85;105;126;155;187;233;285;346;414;492;594;698;825;960;1097;1277;1448;1611;1779;1942;2084;2231;2376;2481;2571;2629;2681;2727;2766;2796;2812;2827;2839;2852;2855;2858;2865;2865;2867;2868;2869;2870;2870;2870;2870;2870;2870;2870;2870;2870;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2871;2872;2873;2873;2873;2873;2873;2873;2873;2873;2873;2873;2873
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;5;5;9;9;10;13;17;20;22;29;33;38;44;55;66;84;98;125;149;181;224;263;319;382;455;537;642;755;875;993;1127;1259;1393;1503;1615;1725;1819;1887;1943;1991;2028;2060;2085;2103;2117;2122;2129;2133;2140;2146;2146;2149;2152;2154;2154;2155;2155;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2156;2157;2157;2157;2157;2157
0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;5;6;6;8;11;15;19;26;36;48;56;75;92;114;131;172;210;266;316;409;488;586;715;868;1040;1238;1474;1744;2047;2382;2746;3138;3525;3910;4303;4661;4996;5276;5499;5708;5881;5998;6101;6182;6254;6309;6342;6363;6380;6391;6408;6415;6424;6429;6429;6433;6434;6438;6440;6442;6442;6442;6442;6443;6443;6443;6443;6444;6444;6444;6444;6444;6444;6444;6444;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6446;6446;6446;6446;6446;6446;6446;6446;6446;6446;6446;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6445;6444;6444;6444;6444;6444;6444;6444;6444;6444;6444;6444;6444;6444;6444;6444
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;4;5;5;6;9;10;13;16;20;26;30;36;44;51;63;74;91;99;114;145;165;198;230;268;325;374;422;473;531;570;617;654;699;726;752;768;779;786;798;812;818;824;824;829;831;833;833;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;836;837;837;837;837;837;837;837;837;838;838;838;838;838;838;838;838;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839;839;840;840;840;840;841;841;841;841;841;841;841;841;841;841;841;841;841;841;841;841;841;841;841;841
0;1;1;1;1;1;1;1;1;1;1;1;2;2;3;5;7;8;12;18;20;23;33;39;49;59;76;90;109;132;158;200;249;293;360;455;562;689;848;1040;1256;1517;1833;2191;2583;3032;3505;4012;4521;5039;5553;6052;6507;6897;7272;7578;7839;8045;8191;8306;8391;8452;8502;8544;8574;8599;8613;8626;8633;8638;8643;8644;8649;8650;8650;8651;8651;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8652;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8653;8652;8652;8652;8652;8653;8654;8654;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8655;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656;8656
0;1;1;1;1;1;1;1;1;1;1;2;2;3;4;5;6;7;7;8;11;13;16;24;27;32;38;46;53;61;78;93;114;132;164;200;240;286;352;420;485;580;674;768;866;959;1059;1148;1232;1314;1367;1410;1456;1494;1520;1540;1553;1569;1576;1582;1586;1588;1593;1596;1596;1596;1597;1599;1601;1601;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1604;1604;1604;1604;1604;1604;1604;1604;1604;1604;1604;1604;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605;1605
0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;4;4;6;8;12;13;19;21;29;34;41;49;56;74;91;120;147;178;216;259;323;387;468;570;675;804;934;1075;1228;1379;1556;1706;1895;2032;2154;2270;2359;2429;2491;2528;2568;2590;2614;2630;2643;2646;2651;2652;2658;2661;2664;2665;2666;2668;2668;2668;2668;2668;2669;2670;2670;2670;2671;2671;2671;2671;2671;2671;2671;2671;2671;2671;2671;2671;2671;2671;2671;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2672;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673;2673
0;1;1;1;1;1;1;1;1;1;1;2;2;2;3;4;5;6;6;7;9;12;12;16;18;23;28;31;37;48;62;76;93;123;153;194;236;292;351;434;535;634;771;939;1110;1321;1568;1825;2105;2411;2733;3029;3328;3597;3841;4056;4238;4429;4545;4658;4747;4808;4856;4885;4900;4926;4941;4954;4964;4969;4971;4973;4976;4977;4979;4980;4983;4983;4983;4983;4984;4984;4984;4984;4984;4984;4984;4984;4984;4984;4984;4984;4984;4984;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4984;4984;4984;4984;4984;4984;4984;4984;4984;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4985;4986;4986;4986;4986
