0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;4;4;6;8;8;13;17;19;24;31;38;47;69;82;106;131;164;204;245;312;385;486;599;758;934;1153;1408;1739;2141;2644;3228;3903;4697;5648;6772;8046;9428;10985;12698;14506;16388;18210;19950;21597;23106;24396;25496;26434;27239;27843;28300;28679;28984;29210;29375;29493;29570;29631;29685;29728;29756;29782;29792;29808;29818;29822;29828;29832;29832;29836;29837;29839;29840;29842;29841;29842;29842;29838;29838;29840;29837;29840;29841;29839;29840;29840;29842;29842;29842;29843;29843;29844;29842;29842;29842;29842;29843;29843;29845;29845;29845;29845;29845;29845;29846;29846;29847;29846;29846;29846;29845;29847;29847;29846;29846;29846;29846;29848;29848;29848;29848;29848;29847;29848;29848
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;5;5;6;6;8;8;12;14;21;23;29;39;47;60;74;89;114;139;173;219;275;333;423;515;632;786;964;1183;1438;1750;2171;2639;3216;3933;4769;5754;6779;8054;9453;11012;12730;14539;16310;18087;19864;21593;23093;24448;25622;26580;27343;27924;28416;28798;29081;29292;29465;29579;29681;29762;29816;29877;29910;29929;29949;29961;29966;29970;29975;29979;29983;29984;29982;29983;29983;29982;29982;29983;29983;29983;29984;29985;29985;29985;29981;29982;29983;29982;29982;29982;29982;29982;29982;29980;29980;29981;29980;29980;29980;29980;29980;29980;29979;29980;29980;29978;29978;29978;29979;29979;29980;29980;29980;29980;29979;29979;29979;29976;29976;29976
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;4;5;5;6;7;9;9;12;18;22;27;32;41;53;65;73;98;120;149;184;232;286;344;432;524;648;777;965;1203;1453;1809;2213;2719;3327;4032;4854;5820;6964;8256;9742;11379;13159;15029;16863;18692;20491;22112;23562;24849;25919;26796;27558;28135;28598;28971;29242;29438;29587;29695;29775;29851;29893;29924;29948;29974;29989;30003;30013;30015;30020;30024;30023;30028;30030;30028;30029;30030;30030;30030;30031;30029;30030;30030;30029;30029;30029;30029;30029;30030;30029;30029;30030;30029;30029;30029;30029;30029;30029;30030;30031;30031;30032;30032;30032;30032;30032;30032;30030;30031;30031;30029;30029;30029;30028;30029;30030;30029;30029;30030;30031;30032;30032
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;4;4;5;6;9;12;15;18;22;29;34;47;57;62;79;98;123;156;198;248;314;384;496;606;757;939;1137;1403;1682;2081;2549;3141;3796;4605;5534;6608;7828;9247;10781;12423;14235;16078;17918;19722;21319;22890;24276;25459;26426;27247;27915;28415;28775;29101;29320;29494;29630;29736;29815;29863;29897;29916;29936;29953;29960;29968;29979;29986;29989;29995;29995;29996;29996;29996;29998;29999;30001;30001;30001;30001;30001;30001;30002;30002;30002;30000;30000;30001;29999;29999;29999;30000;30001;30001;29997;29997;29998;29996;29996;29996;29995;29996;29996;29995;29996;29996;29994;29994;29994;29993;29993;29993;29991;29992;29992;29991;29994;29994
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;4;5;5;6;10;12;15;17;20;23;28;33;39;48;55;73;80;97;122;147;188;236;287;347;439;545;674;848;1038;1290;1596;1985;2418;2987;3603;4342;5225;6275;7504;8872;10439;12090;13850;15713;17541;19298;21036;22648;24087;25299;26289;27143;27824;28400;28775;29098;29349;29536;29689;29793;29860;29920;29968;29998;30025;30047;30069;30073;30081;30091;30095;30096;30098;30097;30099;30100;30101;30102;30104;30101;30102;30102;30102;30102;30104;30104;30105;30105;30105;30105;30105;30105;30106;30106;30104;30104;30104;30103;30104;30104;30104;30105;30105;30103;30104;30104;30100;30101;30103;30102;30102;30102;30102;30102;30102;30103;30103;30103;30101;30101;30101;30102;30103;30104;30100;30102;30102
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;3;5;5;6;9;9;10;12;14;18;23;25;34;43;53;63;77;93;117;138;165;210;255;315;385;481;606;743;911;1135;1412;1726;2099;2557;3115;3781;4603;5519;6633;7896;9288;10868;12548;14348;16168;18024;19765;21424;22967;24322;25512;26459;27234;27891;28378;28747;29023;29264;29445;29567;29675;29738;29781;29821;29851;29879;29899;29904;29917;29928;29930;29936;29938;29938;29940;29941;29940;29941;29942;29942;29942;29942;29943;29945;29946;29947;29947;29947;29944;29946;29946;29946;29947;29947;29947;29947;29947;29945;29946;29946;29946;29946;29947;29945;29946;29946;29945;29947;29947;29947;29947;29947;29945;29946;29946;29946;29946;29946;29943;29943;29943
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;4;5;6;6;7;8;12;14;18;21;25;29;38;50;65;75;105;126;146;181;230;277;341;407;527;623;785;973;1195;1458;1767;2197;2689;3219;3967;4797;5746;6886;8151;9573;11145;12847;14665;16561;18359;20140;21817;23257;24539;25676;26582;27293;27897;28377;28761;29037;29269;29414;29518;29604;29678;29721;29758;29785;29809;29821;29839;29847;29858;29864;29864;29869;29870;29869;29871;29872;29871;29871;29871;29870;29870;29870;29869;29870;29870;29868;29868;29868;29867;29867;29867;29867;29868;29868;29867;29867;29867;29866;29866;29866;29865;29865;29865;29862;29862;29863;29862;29862;29863;29863;29865;29865;29864;29866;29867;29866;29868;29871
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;4;4;4;5;6;6;6;8;8;11;13;18;20;26;31;41;48;55;64;82;104;126;150;187;227;291;358;443;567;703;838;1048;1279;1573;1933;2386;2888;3477;4235;5075;6112;7293;8629;10165;11752;13519;15377;17155;18987;20710;22351;23853;25079;26097;26970;27693;28233;28662;28966;29203;29371;29521;29633;29716;29776;29821;29855;29879;29894;29906;29913;29922;29932;29933;29939;29941;29943;29945;29945;29944;29944;29945;29945;29945;29945;29947;29948;29948;29947;29947;29947;29945;29946;29946;29946;29948;29948;29946;29946;29946;29944;29945;29946;29945;29948;29948;29948;29949;29950;29950;29951;29951;29953;29953;29953;29953;29953;29954;29951;29951;29951;29950;29950;29950
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;3;5;5;8;9;10;13;17;21;26;34;44;53;62;77;93;114;142;169;215;258;326;406;494;608;751;918;1147;1387;1724;2103;2554;3109;3777;4559;5465;6516;7791;9180;10684;12327;14112;15931;17751;19548;21268;22831;24182;25385;26367;27149;27765;28287;28683;28995;29217;29389;29515;29612;29682;29731;29788;29822;29847;29857;29878;29889;29899;29901;29905;29906;29909;29910;29910;29911;29910;29910;29910;29911;29912;29912;29913;29913;29913;29913;29914;29914;29912;29912;29912;29910;29911;29911;29909;29909;29909;29911;29911;29911;29909;29910;29910;29909;29910;29910;29910;29910;29910;29911;29911;29911;29909;29909;29909;29908;29908;29908;29909;29909;29909;29908;29908;29908;29906;29908;29908
0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;4;5;7;8;10;13;17;21;26;32;39;43;57;70;83;107;134;165;199;250;302;372;463;566;687;844;1043;1280;1575;1918;2324;2805;3481;4231;5067;6120;7277;8631;10111;11736;13467;15223;17083;18886;20686;22221;23632;24901;25940;26778;27490;28014;28434;28777;29035;29224;29372;29470;29553;29620;29665;29698;29725;29739;29749;29762;29768;29778;29781;29786;29789;29790;29788;29789;29791;29791;29791;29791;29791;29791;29791;29790;29790;29790;29790;29790;29791;29794;29794;29794;29793;29795;29795;29795;29795;29796;29795;29795;29796;29795;29795;29796;29795;29795;29795;29794;29794;29795;29794;29794;29794;29793;29794;29795;29796;29798;29799;29799;29799;29799;29797;29797;29797;29797;29798;29798
