0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500
0;1;2;2;4;5;7;7;9;10;13;17;20;22;28;39;44;54;64;84;97;128;160;194;235;284;346;429;534;659;817;1019;1236;1518;1877;2294;2831;3418;4143;4978;6011;7170;8411;9886;11490;13138;14900;16610;18266;19744;21157;22405;23383;24083;24573;24774;24695;24446;24022;23352;22447;21324;20038;18577;16935;15185;13343;11550;9841;8207;6716;5438;4351;3420;2621;2019;1566;1189;885;659;494;376;296;235;181;136;108;83;72;56;47;42;37;33;31;27;26;24;23;21;21;21;21;21;21;21;21;21;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22
0;1;1;1;1;1;1;2;2;3;3;3;3;4;5;6;9;10;12;16;22;25;31;40;49;64;80;95;112;132;172;209;259;324;399;481;612;757;922;1161;1421;1751;2149;2601;3188;3889;4672;5615;6714;8013;9416;10920;12600;14276;16018;17746;19381;20827;22120;23128;23911;24418;24742;24769;24518;24031;23340;22543;21422;20132;18664;17025;15275;13551;11813;10061;8352;6866;5523;4356;3404;2650;2078;1586;1209;925;714;543;429;328;247;193;133;100;80;60;49;45;41;36;34;30;29;29;28;28;28;28;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27
0;2;2;3;5;7;7;10;12;15;16;27;34;43;56;66;86;101;131;154;188;228;294;355;461;565;711;874;1076;1300;1610;1959;2385;2901;3537;4319;5186;6147;7337;8722;10198;11815;13609;15391;17293;19132;20786;22360;23703;24904;25826;26658;27288;27720;28021;28234;28311;28275;28159;27920;27590;27147;26580;25901;25106;24165;23042;21768;20288;18656;16877;15011;13186;11361;9567;7949;6499;5212;4142;3265;2503;1926;1464;1092;822;624;475;367;283;207;166;135;111;85;71;58;48;46;41;38;37;33;31;30;30;29;29;29;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
0;1;2;2;2;2;2;3;4;6;7;8;10;15;17;21;27;31;39;53;64;78;97;120;148;183;230;279;348;436;521;644;796;982;1196;1475;1806;2205;2680;3253;3921;4727;5703;6816;8112;9541;11137;12850;14599;16447;18231;19983;21570;22995;24235;25248;26064;26668;27090;27366;27477;27458;27268;26968;26499;25947;25216;24334;23290;22098;20700;19188;17558;15755;13917;12082;10286;8694;7125;5739;4560;3595;2772;2104;1606;1244;919;700;528;393;290;211;164;130;108;89;72;65;59;49;42;39;34;34;33;33;32;31;31;29;29;29;29;29;29;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
0;1;1;1;1;1;1;1;1;2;2;2;4;5;6;8;8;11;17;19;23;34;41;46;55;68;81;96;117;140;177;225;279;346;435;544;668;833;1028;1289;1580;1933;2392;2935;3531;4268;5174;6221;7341;8633;10044;11532;13085;14673;16146;17485;18773;19803;20554;20999;21115;20868;20300;19449;18324;16979;15471;13785;12103;10441;8805;7259;5868;4701;3741;2907;2238;1674;1312;998;749;566;415;315;250;192;146;117;91;69;50;42;35;26;20;19;19;19;18;18;17;17;16;16;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
0;1;2;2;3;3;5;7;8;10;11;13;16;19;22;29;34;43;60;70;90;114;134;171;208;254;309;379;464;562;693;851;1049;1296;1592;1946;2373;2895;3510;4202;5044;6064;7205;8549;10042;11588;13322;15161;17005;18786;20483;22019;23385;24595;25569;26361;26887;27310;27586;27740;27713;27614;27392;27054;26601;25992;25218;24325;23233;21995;20624;19057;17386;15598;13781;11929;10189;8533;6993;5642;4456;3509;2733;2077;1591;1217;941;701;519;397;289;226;184;144;113;88;68;62;50;41;39;33;31;28;28;27;27;26;26;25;25;25;24;24;24;24;24;24;24;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
0;1;1;2;2;3;5;5;6;11;11;16;19;24;28;39;44;50;58;74;93;109;139;166;201;242;292;361;445;559;681;839;1030;1229;1518;1844;2262;2784;3413;4118;4926;5937;7165;8393;9881;11509;13226;14992;16793;18538;20272;21891;23295;24537;25575;26399;27070;27554;27848;28032;28124;28068;27950;27746;27406;26981;26489;25777;24975;24052;22929;21678;20262;18697;17005;15191;13300;11505;9731;8057;6621;5343;4209;3305;2595;1991;1512;1131;854;623;478;373;287;213;167;131;104;80;68;50;42;32;26;23;19;18;18;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16
0;1;2;2;2;3;4;4;7;9;11;13;18;21;25;32;40;45;55;71;79;108;138;157;194;247;303;370;463;565;690;845;1031;1263;1572;1909;2332;2872;3493;4212;5088;6135;7270;8627;10121;11739;13485;15258;17070;18873;20512;22086;23529;24661;25534;26283;26865;27310;27519;27646;27584;27407;27110;26720;26200;25516;24730;23729;22573;21260;19748;18170;16408;14551;12787;10963;9247;7608;6108;4883;3865;2996;2274;1735;1307;1004;768;600;450;338;255;196;151;117;93;78;66;57;48;39;37;31;29;27;26;26;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
0;2;2;3;3;5;5;6;7;8;8;9;11;15;19;25;32;38;46;57;67;81;98;119;152;189;232;288;355;432;531;669;824;998;1241;1528;1837;2285;2801;3416;4170;5020;5980;7127;8430;9891;11440;13055;14756;16438;18108;19619;20971;22094;23048;23717;24101;24307;24179;23840;23303;22518;21469;20228;18833;17288;15565;13816;12029;10272;8574;7024;5692;4500;3533;2762;2149;1630;1236;925;707;536;409;312;244;197;140;107;81;72;54;43;33;31;27;27;25;23;23;22;21;21;21;21;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;4;5;6;8;9;12;16;17;23;27;32;38;49;59;69;91;111;140;170;198;247;320;397;478;603;743;931;1133;1377;1687;2044;2497;2994;3649;4346;5160;6107;7087;8128;9247;10264;11253;12150;12864;13376;13512;13368;12920;12180;11266;10153;8910;7577;6406;5272;4218;3329;2621;1993;1557;1202;903;685;525;397;307;233;172;134;104;78;65;58;47;41;31;28;24;22;22;22;21;20;20;20;20;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19
