time,median
0,0.0
10,1.0
20,2.0
30,2.0
40,2.0
50,3.0
60,3.0
70,4.0
80,5.0
90,6.0
100,7.5
110,10.0
120,12.0
130,15.0
140,18.0
150,23.5
160,30.0
170,36.0
180,44.5
190,55.5
200,67.5
210,84.5
220,103.5
230,128.0
240,159.5
250,199.5
260,247.0
270,313.0
280,378.5
290,465.0
300,584.5
310,729.5
320,892.0
330,1088.0
340,1341.0
350,1655.5
360,2033.5
370,2484.0
380,3044.0
390,3672.5
400,4441.5
410,5330.5
420,6372.5
430,7558.0
440,8947.5
450,10396.0
460,12002.0
470,13569.5
480,15198.0
490,16928.5
500,18372.5
510,19835.0
520,21057.0
530,22326.0
540,23423.0
550,24283.5
560,24850.5
570,25372.5
580,25743.0
590,26095.5
600,26363.0
610,26636.5
620,26932.5
630,27066.0
640,27138.5
650,27191.0
660,27234.0
670,27268.5
680,27290.0
690,27304.5
700,27335.0
710,27363.5
720,27390.0
730,27398.5
740,27431.0
750,27443.0
760,27441.5
770,27442.0
780,27442.0
790,27443.0
800,27443.0
810,27445.5
820,27445.5
830,27446.0
840,27446.0
850,27446.0
860,27446.0
870,27446.5
880,27446.5
890,27446.5
900,27446.5
910,27444.5
920,27444.5
930,27444.5
940,27444.5
950,27444.5
960,27444.5
970,27444.5
980,27444.5
990,27444.5
1000,27444.5
1010,27444.5
1020,27444.5
1030,27445.0
1040,27445.0
1050,27445.0
1060,27443.5
1070,27444.0
1080,27444.0
1090,27444.0
1100,27444.0
1110,27444.0
1120,27444.5
1130,27445.0
1140,27445.0
1150,27445.0
1160,27445.0
1170,27445.0
1180,27445.0
1190,27445.0
1200,27445.0
1210,27443.5
1220,27443.5
1230,27444.0
1240,27444.0
1250,27444.5
1260,27444.5
1270,27444.5
1280,27444.5
1290,27444.5
1300,27444.5
1310,27444.5
1320,27444.5
1330,27444.5
1340,27444.5
1350,27444.5
1360,27443.0
1370,27443.0
1380,27443.0
1390,27443.0
1400,27443.0
1410,27443.0
1420,27443.5
1430,27443.5
1440,27443.5
1450,27443.5
1460,27444.0
1470,27444.0
1480,27444.0
1490,27444.0
1500,27444.0
