time,median
0,0.0
10,1.0
20,2.0
30,2.0
40,2.0
50,3.0
60,4.0
70,5.0
80,6.0
90,7.0
100,9.0
110,10.5
120,13.0
130,16.5
140,21.5
150,26.0
160,31.5
170,38.5
180,46.5
190,59.5
200,73.5
210,91.5
220,112.5
230,139.0
240,168.5
250,211.5
260,261.5
270,319.5
280,409.0
290,499.0
300,619.0
310,767.0
320,945.0
330,1155.0
340,1420.0
350,1738.5
360,2149.5
370,2594.5
380,3136.0
390,3854.0
400,4645.0
410,5589.5
420,6687.0
430,7966.0
440,9414.0
450,11018.0
460,12726.5
470,14507.5
480,16382.0
490,18220.5
500,19954.0
510,21625.5
520,23143.0
530,24508.5
540,25596.0
550,26580.5
560,27314.5
570,27883.0
580,28391.5
590,28750.0
600,29077.5
610,29235.0
620,29415.5
630,29554.0
640,29632.5
650,29695.0
660,29750.5
670,29795.5
680,29816.5
690,29837.5
700,29854.0
710,29874.0
720,29884.5
730,29898.0
740,29916.0
750,29926.5
760,29934.0
770,29936.5
780,29937.0
790,29940.5
800,29945.0
810,29947.5
820,29948.0
830,29950.0
840,29951.0
850,29949.0
860,29950.5
870,29953.0
880,29950.5
890,29951.5
900,29951.5
910,29951.0
920,29951.5
930,29952.0
940,29951.0
950,29951.5
960,29951.5
970,29951.0
980,29952.0
990,29952.5
1000,29951.5
