time,median
0,0.0
10,1.0
20,2.0
30,2.0
40,2.0
50,3.0
60,3.5
70,4.0
80,5.0
90,6.0
100,8.0
110,10.0
120,12.0
130,15.0
140,18.0
150,22.0
160,28.0
170,34.0
180,43.0
190,52.5
200,63.5
210,79.0
220,100.5
230,121.0
240,151.5
250,188.0
260,231.5
270,280.0
280,350.5
290,433.5
300,537.5
310,666.5
320,820.0
330,1015.0
340,1247.5
350,1537.0
360,1893.0
370,2295.5
380,2801.0
390,3420.0
400,4148.0
410,5004.0
420,5991.0
430,7133.5
440,8454.0
450,9913.0
460,11526.5
470,13202.5
480,14945.5
490,16763.5
500,18401.0
510,19955.0
520,21490.0
530,22648.5
540,23554.0
550,24426.5
560,24770.0
570,25056.0
580,25070.0
590,24907.5
600,24753.0
610,24444.5
620,23972.0
630,23226.5
640,22065.5
650,20747.0
660,19464.5
670,17888.5
680,16371.0
690,14542.5
700,12772.5
710,10927.0
720,9211.0
730,7608.5
740,6208.0
750,4950.5
760,3881.5
770,3017.0
780,2314.0
790,1808.0
800,1364.0
810,1030.5
820,784.0
830,591.5
840,451.5
850,347.5
860,257.0
870,192.0
880,147.5
890,114.0
900,89.5
910,70.5
920,59.0
930,51.5
940,43.5
950,40.5
960,36.0
970,33.0
980,30.0
990,29.0
1000,27.5
1010,26.0
1020,25.0
1030,24.0
1040,24.0
1050,24.0
1060,24.0
1070,23.5
1080,23.0
1090,23.0
1100,23.0
1110,23.0
1120,23.0
1130,23.0
1140,23.0
1150,23.0
1160,23.0
1170,23.0
1180,23.0
1190,23.0
1200,23.0
1210,23.0
1220,23.0
1230,23.0
1240,23.0
1250,23.0
1260,23.0
1270,23.0
1280,23.0
1290,23.0
1300,23.0
1310,23.0
1320,23.0
1330,23.0
1340,23.0
1350,23.0
1360,23.0
1370,23.0
1380,23.0
1390,23.0
1400,23.0
1410,23.0
1420,23.0
1430,23.0
1440,23.0
1450,23.0
1460,23.0
1470,23.0
1480,23.0
1490,23.0
1500,23.0
