time,median
0,0.0
10,1.0
20,1.0
30,1.0
40,1.0
50,1.0
60,1.0
70,1.0
80,1.0
90,1.0
100,1.0
110,1.0
120,1.0
130,1.0
140,1.0
150,1.0
160,1.0
170,2.0
180,2.0
190,2.0
200,3.0
210,3.0
220,4.0
230,5.0
240,6.0
250,8.0
260,10.0
270,12.5
280,16.0
290,19.0
300,23.0
310,30.0
320,35.5
330,45.0
340,53.5
350,66.5
360,81.5
370,97.5
380,119.0
390,146.0
400,176.0
410,210.0
420,253.5
430,296.5
440,352.0
450,415.5
460,470.5
470,516.0
480,555.0
490,625.0
500,680.0
510,736.5
520,773.0
530,821.5
540,871.5
550,897.0
560,909.0
570,919.5
580,927.5
590,933.5
600,937.0
610,941.5
620,944.5
630,945.5
640,947.5
650,948.5
660,948.5
670,948.5
680,948.5
690,949.5
700,950.0
710,950.0
720,950.5
730,950.5
740,950.5
750,951.0
760,950.5
770,950.5
780,951.0
790,951.0
800,951.0
810,951.0
820,951.0
830,951.5
840,951.5
850,951.5
860,951.5
870,951.5
880,951.5
890,951.5
900,951.5
910,951.5
920,951.5
930,951.5
940,951.5
950,951.5
960,951.5
970,951.5
980,951.5
990,951.5
1000,951.5
1010,951.5
1020,951.5
1030,951.5
1040,951.5
1050,951.5
1060,951.5
1070,951.5
1080,951.5
1090,951.5
1100,951.5
1110,951.5
1120,951.5
1130,951.5
1140,951.5
1150,951.5
1160,951.5
1170,951.5
1180,951.5
1190,951.5
1200,951.5
1210,951.5
1220,951.5
1230,951.5
1240,951.5
1250,951.5
1260,951.5
1270,951.5
1280,952.0
1290,952.0
1300,952.0
1310,952.0
1320,952.0
1330,952.0
1340,952.0
1350,952.0
1360,952.0
1370,952.0
1380,952.0
1390,952.0
1400,952.0
1410,952.0
1420,952.0
1430,952.0
1440,952.0
1450,952.0
1460,952.0
1470,952.0
1480,952.0
1490,952.0
1500,952.0
