time,median
0,0.0
10,1.0
20,2.0
30,2.0
40,2.0
50,3.0
60,3.5
70,4.5
80,5.0
90,6.5
100,8.5
110,11.0
120,13.0
130,16.5
140,19.5
150,24.5
160,31.0
170,38.0
180,48.0
190,58.0
200,70.5
210,89.0
220,110.0
230,139.0
240,171.0
250,210.0
260,266.5
270,325.0
280,410.0
290,510.0
300,621.5
310,768.5
320,940.0
330,1144.0
340,1423.5
350,1755.5
360,2148.5
370,2630.5
380,3205.0
390,3867.5
400,4695.5
410,5623.0
420,6701.5
430,7942.0
440,9355.5
450,10907.5
460,12550.5
470,14333.0
480,16168.0
490,18025.5
500,19824.0
510,21540.0
520,23081.5
530,24457.5
540,25600.0
550,26541.5
560,27302.0
570,27896.5
580,28348.0
590,28730.5
600,29058.5
610,29258.0
620,29430.5
630,29567.0
640,29650.0
650,29721.5
660,29776.0
670,29819.5
680,29849.0
690,29879.0
700,29905.0
710,29922.5
720,29935.5
730,29952.5
740,29961.5
750,29967.5
760,29970.0
770,29973.5
780,29974.0
790,29973.5
800,29975.5
810,29975.5
820,29979.0
830,29979.5
840,29980.0
850,29980.0
860,29983.5
870,29984.0
880,29984.0
890,29985.5
900,29986.0
910,29985.5
920,29986.0
930,29986.5
940,29985.0
950,29986.0
960,29986.0
970,29986.0
980,29986.5
990,29987.0
1000,29985.5
