0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590;600;610;620;630;640;650;660;670;680;690;700;710;720;730;740;750;760;770;780;790;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000
0;1;2;2;3;3;3;3;4;6;7;10;10;14;15;22;29;34;42;53;70;84;97;120;148;187;233;287;351;441;546;674;814;1005;1234;1537;1902;2303;2841;3433;4165;5056;6069;7260;8560;10106;11685;13425;15198;16993;18830;20521;22139;23502;24732;25851;26730;27450;28002;28441;28764;29042;29246;29385;29507;29596;29677;29728;29769;29797;29811;29826;29837;29846;29850;29854;29859;29860;29863;29862;29865;29865;29864;29864;29865;29866;29868;29868;29867;29868;29868;29869;29869;29869;29869;29869;29871;29872;29872;29872;29872
0;1;1;1;1;1;1;1;1;2;2;3;3;3;4;5;5;6;7;8;9;10;13;17;20;25;27;30;38;50;59;74;93;109;126;160;198;244;301;370;448;578;697;865;1093;1338;1655;2024;2504;3018;3723;4461;5362;6423;7678;9074;10572;12258;14017;15831;17695;19523;21240;22813;24174;25338;26358;27193;27850;28381;28787;29120;29342;29509;29639;29732;29813;29871;29909;29937;29957;29972;29983;29989;30004;30010;30012;30015;30017;30017;30018;30016;30016;30016;30018;30019;30019;30020;30020;30020;30020
0;1;2;2;2;3;3;5;5;7;9;11;14;17;23;28;33;44;50;65;87;106;126;155;195;240;291;356;453;559;674;828;1019;1257;1533;1908;2368;2893;3524;4247;5128;6154;7373;8735;10267;11925;13685;15481;17385;19252;20959;22547;24026;25236;26233;27050;27728;28279;28716;29025;29281;29450;29602;29718;29788;29844;29883;29920;29941;29956;29970;29980;29989;29992;29995;29997;29997;29999;29999;29999;30000;30000;29996;29998;29998;29999;29999;29999;29999;30000;30001;30002;30003;30003;30002;30003;30003;30003;30003;30004;30005
0;2;2;2;3;4;5;6;7;8;11;14;18;20;23;31;40;50;64;80;93;120;154;186;232;281;358;454;566;723;868;1084;1353;1653;2032;2499;3032;3694;4485;5410;6461;7719;9130;10624;12286;14101;15954;17760;19526;21285;22868;24159;25410;26457;27247;27901;28416;28781;29085;29300;29467;29605;29710;29784;29832;29876;29896;29914;29926;29948;29960;29969;29974;29981;29985;29987;29986;29987;29988;29988;29989;29991;29991;29991;29992;29991;29993;29993;29990;29990;29991;29992;29992;29992;29989;29989;29990;29989;29990;29990;29989
0;1;1;1;2;2;3;4;4;7;7;9;10;13;19;23;27;35;43;48;61;77;100;126;156;183;229;296;361;453;562;673;819;1003;1233;1524;1899;2335;2817;3461;4142;4983;6027;7137;8469;9912;11527;13224;14966;16726;18548;20236;21842;23230;24479;25554;26444;27144;27734;28168;28515;28794;29004;29162;29290;29391;29464;29515;29539;29568;29585;29602;29613;29616;29619;29620;29617;29620;29622;29624;29625;29628;29625;29628;29628;29627;29628;29630;29627;29627;29627;29629;29629;29630;29627;29627;29628;29627;29629;29630;29629
0;1;1;1;1;2;2;3;4;8;8;8;12;15;18;22;27;31;40;47;65;79;95;125;151;184;225;282;349;425;532;661;820;1019;1254;1545;1885;2312;2815;3392;4102;4907;5931;7045;8312;9803;11432;13114;14905;16751;18572;20267;21897;23312;24593;25686;26576;27325;27889;28350;28719;28968;29182;29340;29468;29555;29620;29671;29708;29731;29749;29759;29769;29783;29788;29796;29798;29800;29800;29804;29804;29806;29806;29808;29808;29809;29809;29810;29808;29808;29809;29809;29810;29812;29813;29815;29815;29815;29817;29817;29816
0;2;2;3;4;4;6;8;10;13;13;18;22;29;34;43;53;67;76;95;120;150;190;238;295;357;430;540;658;815;1026;1225;1519;1876;2264;2766;3386;4090;4946;5950;7116;8439;9946;11534;13329;15077;16912;18686;20443;21966;23392;24618;25730;26650;27362;27941;28400;28750;29008;29236;29389;29505;29586;29658;29696;29730;29753;29774;29789;29798;29808;29813;29822;29824;29825;29826;29827;29828;29831;29833;29835;29836;29836;29836;29837;29837;29837;29837;29836;29836;29836;29837;29839;29839;29838;29838;29838;29837;29837;29837;29836
0;1;2;2;4;4;6;6;7;9;12;12;14;15;16;18;24;30;37;42;58;66;77;95;111;139;170;203;253;318;403;487;614;756;917;1156;1408;1709;2112;2591;3154;3870;4667;5638;6716;7974;9435;11010;12783;14571;16440;18324;20052;21769;23347;24725;25829;26821;27525;28137;28613;28994;29265;29475;29648;29755;29851;29927;29970;30004;30034;30054;30063;30076;30080;30089;30093;30095;30097;30095;30096;30097;30094;30094;30096;30095;30095;30096;30095;30096;30096;30093;30094;30094;30094;30094;30094;30093;30093;30093;30090
0;1;1;2;2;2;2;3;3;4;4;7;9;11;12;16;22;27;31;41;50;59;72;93;117;139;164;203;247;304;383;478;597;743;933;1135;1398;1725;2108;2591;3155;3812;4625;5552;6649;7907;9360;10913;12589;14370;16247;18117;19898;21573;23139;24487;25634;26636;27411;28003;28471;28849;29179;29407;29577;29722;29823;29888;29940;29981;30005;30026;30040;30051;30061;30068;30072;30076;30081;30082;30082;30082;30082;30082;30084;30084;30084;30085;30085;30085;30085;30085;30085;30085;30087;30087;30087;30089;30089;30089;30088
0;2;2;2;4;5;7;8;9;13;14;18;24;29;36;41;55;70;86;103;133;161;198;247;299;360;453;552;685;833;1020;1267;1537;1861;2283;2776;3377;4061;4827;5817;6952;8190;9681;11248;12937;14759;16550;18373;20097;21740;23177;24449;25519;26443;27209;27827;28314;28650;28941;29155;29344;29455;29551;29607;29649;29695;29725;29751;29768;29783;29791;29796;29801;29804;29808;29813;29815;29817;29817;29818;29818;29818;29816;29816;29817;29814;29815;29815;29814;29815;29815;29812;29812;29812;29812;29812;29812;29812;29814;29814;29811
0;1;2;2;2;3;4;4;4;4;4;6;7;9;11;13;18;21;31;35;41;48;62;82;94;114;140;172;210;263;316;398;496;613;753;910;1151;1408;1713;2116;2598;3161;3847;4643;5554;6643;7938;9393;10952;12594;14348;16248;18089;19834;21551;23058;24431;25629;26587;27388;28029;28495;28851;29147;29353;29504;29625;29707;29793;29852;29894;29932;29954;29965;29980;29982;29984;29989;29991;29994;29995;29996;29998;29999;30001;30002;30003;30004;30005;30005;30006;30006;30008;30008;30007;30007;30007;30007;30007;30007;30005
0;2;2;2;2;2;2;3;3;3;4;7;7;10;11;11;16;22;26;36;47;58;75;92;111;137;176;210;266;331;412;511;639;785;975;1182;1458;1806;2222;2737;3289;3952;4860;5864;6947;8251;9737;11379;13118;14937;16821;18648;20410;21966;23446;24779;25842;26707;27427;28041;28478;28794;29068;29301;29457;29572;29679;29740;29800;29835;29861;29879;29894;29900;29911;29918;29919;29921;29928;29930;29932;29933;29932;29934;29934;29934;29936;29938;29937;29938;29938;29938;29939;29939;29939;29940;29940;29940;29941;29941;29942
0;1;1;1;1;1;1;1;2;2;4;6;6;8;11;17;19;22;28;34;41;52;62;81;103;121;148;184;220;277;343;417;531;647;794;981;1254;1530;1901;2292;2789;3407;4077;4923;5911;7100;8412;9926;11575;13296;15121;16957;18839;20595;22274;23727;24992;26087;26944;27613;28167;28594;28936;29225;29439;29566;29660;29731;29789;29845;29883;29909;29932;29948;29956;29963;29968;29972;29975;29977;29981;29983;29982;29984;29986;29985;29986;29986;29985;29986;29988;29985;29986;29986;29987;29988;29988;29988;29988;29989;29988
