time,median
0,0.0
10,1.0
20,1.0
30,2.0
40,2.0
50,3.0
60,3.0
70,4.0
80,5.0
90,6.0
100,7.0
110,7.0
120,10.0
130,12.0
140,16.0
150,20.0
160,26.0
170,33.0
180,41.0
190,52.0
200,67.0
210,84.0
220,105.0
230,131.0
240,162.0
250,198.0
260,242.0
270,301.0
280,361.0
290,443.0
300,550.0
310,675.0
320,831.0
330,1007.0
340,1257.0
350,1518.0
360,1846.0
370,2222.0
380,2702.0
390,3273.0
400,3953.0
410,4739.0
420,5707.0
430,6750.0
440,7930.0
450,9224.0
460,10675.0
470,12198.0
480,13887.0
490,15722.0
500,17356.0
510,19068.0
520,20607.0
530,21645.0
540,22449.0
550,23125.0
560,23650.0
570,24102.0
580,24361.0
590,24593.0
600,24785.0
610,24933.0
620,25058.0
630,25140.0
640,25211.0
650,25242.0
660,25271.0
670,25293.0
680,25319.0
690,25331.0
700,25339.0
710,25347.0
720,25349.0
730,25354.0
740,25359.0
750,25360.0
760,25360.0
770,25363.0
780,25366.0
790,25370.0
800,25370.0
810,25371.0
820,25371.0
830,25372.0
840,25372.0
850,25372.0
860,25372.0
870,25373.0
880,25373.0
890,25373.0
900,25373.0
910,25372.0
920,25372.0
930,25372.0
940,25372.0
950,25372.0
960,25372.0
970,25372.0
980,25372.0
990,25372.0
1000,25372.0
1010,25372.0
1020,25372.0
1030,25372.0
1040,25372.0
1050,25373.0
1060,25372.0
1070,25372.0
1080,25372.0
1090,25372.0
1100,25372.0
1110,25372.0
1120,25372.0
1130,25372.0
1140,25372.0
1150,25372.0
1160,25372.0
1170,25372.0
1180,25372.0
1190,25372.0
1200,25372.0
1210,25372.0
1220,25372.0
1230,25372.0
1240,25372.0
1250,25372.0
1260,25372.0
1270,25373.0
1280,25373.0
1290,25373.0
1300,25373.0
1310,25373.0
1320,25373.0
1330,25373.0
1340,25373.0
1350,25373.0
1360,25372.0
1370,25372.0
1380,25372.0
1390,25372.0
1400,25372.0
1410,25373.0
1420,25373.0
1430,25373.0
1440,25373.0
1450,25373.0
1460,25373.0
1470,25373.0
1480,25373.0
1490,25373.0
1500,25373.0
