0;50;100;150;200;250;300;350;400;450;500;550;600;650;700;750;800;850;900;950;1000;1050;1100;1150;1200;1250;1300;1350;1400;1450;1500;1550;1600;1650;1700;1750;1800;1850;1900;1950;2000;2050;2100;2150;2200;2250;2300;2350;2400;2450;2500;2550;2600;2650;2700;2750;2800;2850;2900;2950;3000;3050;3100;3150;3200;3250;3300;3350;3400;3450;3500;3550;3600;3650;3700;3750;3800;3850;3900;3950;4000;4050;4100;4150;4200;4250;4300;4350;4400;4450;4500;4550;4600;4650;4700;4750;4800;4850;4900;4950;5000
0;5;14;36;115;365;982;2650;6839;14717;23126;27734;29267;29639;29722;29736;29737;29742;29742;29741;29737;29740;29739;29741;29746;29746;29747;29746;29747;29744;29745;29746;29747;29749;29749;29747;29749;29752;29752;29754;29755;29756;29756;29756;29755;29758;29757;29755;29757;29758;29756;29757;29760;29764;29761;29757;29758;29758;29755;29754;29754;29753;29752;29753;29752;29750;29749;29749;29748;29748;29751;29750;29752;29754;29751;29752;29752;29750;29754;29752;29751;29753;29758;29756;29759;29756;29756;29755;29755;29752;29753;29752;29752;29753;29750;29750;29751;29750;29750;29750;29750
0;2;14;34;90;285;794;2258;5892;13031;21988;27601;29446;29916;30023;30053;30055;30054;30055;30055;30055;30054;30052;30054;30053;30049;30051;30051;30052;30058;30060;30058;30059;30058;30058;30056;30060;30058;30057;30057;30055;30057;30059;30061;30062;30063;30063;30064;30065;30068;30069;30070;30069;30069;30069;30071;30073;30076;30078;30075;30073;30071;30068;30067;30063;30061;30062;30060;30058;30060;30058;30058;30059;30058;30053;30054;30056;30054;30053;30053;30054;30056;30056;30058;30058;30057;30057;30058;30058;30061;30061;30062;30061;30060;30058;30058;30062;30060;30062;30062;30062
0;5;10;33;82;259;746;2036;5347;12239;21188;27235;29407;29975;30114;30140;30145;30146;30147;30148;30149;30149;30147;30143;30143;30140;30143;30144;30140;30141;30141;30141;30142;30142;30138;30134;30134;30136;30136;30135;30133;30132;30136;30134;30135;30135;30134;30131;30132;30134;30132;30133;30132;30133;30134;30133;30137;30137;30137;30135;30135;30136;30137;30137;30137;30139;30139;30143;30142;30146;30142;30142;30140;30143;30143;30144;30143;30142;30144;30142;30143;30149;30151;30150;30153;30155;30155;30156;30157;30153;30154;30153;30151;30152;30151;30149;30150;30147;30147;30147;30143
0;5;14;42;121;341;924;2523;6599;14262;22885;27767;29384;29753;29853;29867;29870;29872;29872;29876;29875;29873;29874;29874;29874;29876;29876;29879;29875;29876;29874;29870;29868;29870;29871;29872;29873;29870;29873;29873;29873;29873;29872;29871;29873;29874;29878;29877;29876;29875;29872;29872;29870;29868;29873;29874;29876;29878;29881;29879;29882;29880;29881;29882;29881;29881;29880;29883;29882;29882;29881;29880;29881;29885;29883;29887;29884;29884;29887;29887;29884;29889;29888;29884;29882;29880;29879;29880;29880;29879;29882;29883;29883;29885;29885;29884;29887;29884;29888;29887;29886
0;1;7;14;47;134;388;1111;3105;7799;16076;24177;28210;29394;29708;29765;29778;29778;29780;29783;29782;29785;29789;29784;29784;29783;29784;29787;29788;29784;29787;29786;29785;29785;29786;29785;29789;29790;29792;29793;29792;29790;29790;29788;29788;29784;29786;29786;29787;29789;29791;29791;29790;29791;29791;29791;29791;29792;29791;29790;29791;29789;29790;29790;29791;29790;29795;29793;29792;29790;29789;29794;29796;29796;29798;29798;29795;29793;29791;29790;29790;29792;29790;29787;29788;29790;29789;29791;29788;29790;29789;29787;29786;29789;29789;29788;29790;29795;29797;29796;29796
0;3;11;37;103;305;843;2232;5793;12944;21851;27415;29337;29851;29974;29997;30004;30008;30008;30007;30004;30006;30002;30001;30003;30000;30001;30001;29998;29999;29997;29998;29999;29999;29999;29999;29997;29993;29993;29993;29997;29999;30002;30003;30005;30004;30004;30003;30003;30001;30000;30003;30003;30003;30003;30002;30001;30004;30004;30003;30006;30005;30004;30003;29999;30000;30004;29999;29997;29997;29997;29992;29992;29993;29991;29990;29989;29986;29987;29988;29988;29990;29991;29992;29993;29996;29994;29995;29992;29992;29991;29995;29995;29994;29994;29992;29993;29996;29993;29996;29994
0;2;9;20;56;158;471;1388;3786;9419;18227;25763;28981;29895;30103;30143;30152;30152;30153;30156;30155;30155;30156;30157;30157;30156;30158;30157;30156;30155;30155;30155;30149;30154;30157;30156;30155;30157;30154;30155;30155;30155;30157;30157;30153;30153;30151;30149;30149;30149;30149;30149;30148;30147;30148;30144;30146;30146;30145;30143;30142;30142;30140;30139;30140;30140;30140;30139;30144;30144;30144;30144;30144;30145;30146;30148;30148;30147;30147;30146;30145;30146;30147;30148;30148;30148;30149;30149;30147;30145;30144;30144;30144;30145;30151;30151;30153;30151;30152;30152;30152
0;3;6;19;60;154;489;1391;3756;9239;17922;25388;28705;29609;29804;29857;29868;29866;29870;29869;29868;29869;29869;29867;29866;29862;29864;29864;29867;29867;29868;29867;29870;29871;29873;29873;29874;29879;29880;29882;29881;29882;29882;29883;29882;29884;29883;29880;29883;29881;29878;29879;29879;29879;29877;29876;29873;29876;29875;29874;29871;29872;29873;29873;29872;29872;29871;29871;29872;29871;29871;29869;29869;29865;29868;29868;29868;29871;29871;29869;29866;29867;29867;29869;29870;29869;29870;29872;29866;29866;29867;29868;29867;29865;29865;29866;29867;29862;29864;29869;29868
0;5;12;45;141;385;1144;3146;7865;16262;24471;28527;29697;29983;30045;30057;30059;30058;30058;30056;30058;30059;30058;30057;30057;30058;30057;30058;30058;30058;30057;30060;30062;30062;30062;30062;30071;30071;30067;30069;30066;30065;30070;30068;30066;30064;30065;30066;30067;30066;30067;30067;30067;30068;30067;30067;30063;30064;30068;30064;30065;30066;30064;30065;30066;30066;30065;30064;30063;30061;30067;30068;30070;30071;30074;30075;30077;30077;30078;30076;30076;30076;30075;30075;30075;30075;30075;30074;30073;30072;30070;30074;30068;30068;30067;30065;30066;30064;30060;30062;30061
0;3;13;48;136;380;1132;3119;7881;16123;24233;28234;29404;29704;29771;29797;29797;29803;29804;29802;29802;29804;29803;29802;29802;29803;29803;29804;29801;29800;29800;29803;29801;29800;29801;29799;29800;29798;29794;29796;29796;29797;29795;29792;29790;29791;29793;29794;29797;29798;29796;29796;29795;29793;29796;29795;29795;29795;29794;29794;29793;29792;29790;29791;29789;29788;29792;29794;29793;29790;29790;29786;29786;29788;29788;29789;29788;29783;29782;29781;29785;29787;29788;29790;29793;29793;29790;29792;29793;29793;29796;29793;29790;29792;29795;29792;29790;29789;29787;29790;29792
